ssn,name,severity,location_name,location_description
O100000001,Ray,0,新竹轉運站,"300新竹市東區; 300, Hsinchu City, East District"
O100000002,Simon,1,台北轉運站,"103臺北市大同區市民大道一段209號No. 10351; 103, Taipei City, Datong District, Section 1, Shimin Boulevard, 209號No. 10351"
O100000003,陳伯伯,2,龍山寺站,108臺北市萬華區
O100000004,王伯伯,2,龍山寺站,108臺北市萬華區
O100000005,李伯伯,2,龍山寺站,108臺北市萬華區
O200000006,吳小姐,2,龍山寺站,108臺北市萬華區
O200000007,陳小姐,2,龍山寺站,108臺北市萬華區
O200000008,張小姐,2,龍山寺站,108臺北市萬華區
O100000013,黃先生,1,國立政治大學,116臺北市文山區指南路二段64號
O200000014,曾小姐,0,國立陽明交通大學,112臺北市北投區立農街二段155號
O200000009,張小姐,1,基隆廟口夜市,200基隆市仁愛區愛四路20號
O100000011,David504,2,豬油 咖啡與閱讀,436臺中市清水區Zhongzheng Street 71號 臺灣
O100000012,葛先生,2,永和仁愛公園,234新北市永和區仁愛路244-1號
O200000013,洪小姐,2,新豐車站,304新竹縣新豐鄉新興路202號
O100000014,吳先生,2,新豐車站,304新竹縣新豐鄉新興路202號
O133333333,蔡哥,1,國立臺南第一高級中學,701臺南市東區民族路一段1號
O100000010,爆哥,0,南台科大,71005臺南市永康區南台街1號
A177777777,張小弟,0,臺灣大學,10617臺北市大安區羅斯福路四段1號
A199999999,黃小弟,1,鳳山車站,830高雄市鳳山區曹公路68號
